Province_State,Country_Region,Lat,Long_
,Tunisia,34.0,9.0
"Contra Costa County, CA",US,37.8534,-121.9018
,Palestine,31.9522,35.2332
,Bosnia and Herzegovina,43.9159,17.6791
,Slovenia,46.1512,14.9955
"Bergen County, NJ",US,40.9263,-74.077
"Harris County, TX",US,29.7752,-95.3103
"San Francisco County, CA",US,37.7749,-122.4194
,South Africa,-30.5595,22.9375
"Clark County, NV",US,36.0796,-115.094
"Fort Bend County, TX",US,29.5693,-95.8143
"Grant County, WA",US,47.1981,-119.3732
"Queens County, NY",US,40.7282,-73.7949
"Santa Rosa County, FL",US,30.769000000000002,-86.9824
"Williamson County, TN",US,35.9179,-86.8622
"New York County, NY",US,40.7128,-74.006
"Unassigned Location, WA",US,47.7511,-120.7401
"Montgomery County, MD",US,39.1547,-77.2405
"Suffolk County, MA",US,42.3601,-71.0589
"Denver County, CO",US,39.7392,-104.9903
"Summit County, CO",US,39.5912,-106.064
,Bhutan,27.5142,90.4336
,Cameroon,3.8480000000000003,11.5021
"Calgary, Alberta",Canada,51.0447,-114.0719
,Colombia,4.5709,-74.2973
,Costa Rica,9.7489,-83.7534
,Peru,-9.19,-75.0152
,Serbia,44.0165,21.0059
,Slovakia,48.669,19.699
,Togo,8.6195,0.8248
"Chatham County, NC",US,35.7211,-79.1781
"Delaware County, PA",US,39.9078,-75.3879
"Douglas County, NE",US,41.3148,-96.1951
"Fayette County, KY",US,38.0606,-84.4803
"Floyd County, GA",US,34.2829,-85.2308
"Marion County, IN",US,39.8362,-86.1752
"Middlesex County, MA",US,42.4672,-71.2874
"Nassau County, NY",US,40.6546,-73.5594
"Norwell County, MA",US,42.1615,-70.7928
"Ramsey County, MN",US,44.9964,-93.0616
"Washoe County, NV",US,40.5608,-119.6035
"Wayne County, PA",US,41.6739,-75.2479
"Yolo County, CA",US,38.7646,-121.9018
,Vatican City,41.9029,12.4534
"Santa Clara County, CA",US,37.3541,-121.9552
Grand Princess Cruise Ship,US,37.6489,-122.6655
,French Guiana,3.9339,-53.1258
,Malta,35.9375,14.3754
"Douglas County, CO",US,39.2587,-104.9389
"Providence County, RI",US,41.8882,-71.4774
,Martinique,14.6415,-61.0242
"Alameda County, CA",US,37.6017,-121.7195
"Broward County, FL",US,26.1901,-80.3659
"Fairfield County, CT",US,41.256,-73.3709
"Lee County, FL",US,26.663,-81.9535
"Pinal County, AZ",US,32.8162,-111.2845
"Rockland County, NY",US,41.1489,-73.983
"Saratoga County, NY",US,43.0324,-73.936
"Edmonton, Alberta",Canada,53.5461,-113.4938
"Charleston County, SC",US,32.7957,-79.7848
"Clark County, WA",US,45.7466,-122.5194
"Cobb County, GA",US,33.8999,-84.5641
"Davis County, UT",US,40.9629,-112.0953
"El Paso County, CO",US,38.9108,-104.4723
"Honolulu County, HI",US,21.307,-157.8584
"Jackson County, OR ",US,42.3345,-122.7647
"Jefferson County, WA",US,47.7425,-123.304
"Kershaw County, SC",US,34.3672,-80.5883
"Klamath County, OR",US,42.6953,-121.6142
"Madera County, CA",US,37.2519,-119.6963
"Middlesex County, MA",US,41.912,-70.7168
"Pierce County, WA",US,47.0676,-122.1295
